City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,coquimbo,-29.9533,-71.3436,9.85,100,20,0.51,CL,1722145166
84,tyukhtet,56.5389,89.3011,29.97,52,64,1.95,RU,1722145167
85,thompson,55.7435,-97.8558,15.09,100,100,1.54,CA,1722145167
86,lerwick,60.1545,-1.1494,13.0,83,98,3.89,GB,1722145168
87,pangody,65.85,74.4859,25.08,56,85,9.7,RU,1722145169
88,ust-nera,64.5667,143.2,21.55,34,66,1.21,RU,1722145169
89,amga,60.8953,131.9608,25.78,34,87,3.59,RU,1722145170
90,hasaki,35.7333,140.8333,35.22,74,91,2.97,JP,1722145171
91,blackmans bay,-43.0167,147.3167,7.63,73,86,0.45,AU,1722145171
92,puerto aysen,-45.4,-72.7,1.12,97,97,2.75,CL,1722145171
93,west island,-12.1568,96.8225,28.99,79,75,10.8,CC,1722145172
94,fisterra,42.9049,-9.2629,19.45,88,61,5.3,ES,1722145173
95,klyuchi,52.2667,79.1667,25.57,54,100,1.39,RU,1722145175
96,wynyard,-41.0,145.7167,8.62,54,98,5.83,AU,1722145186
97,albertville,34.2676,-86.2089,24.25,93,100,2.7,US,1722145187
98,san andres,12.5847,-81.7006,28.01,83,20,4.12,CO,1722145187
99,rikaze,29.25,88.8833,20.6,40,84,1.92,CN,1722145187
100,palanga,55.9175,21.0686,17.01,94,0,0.51,LT,1722145188
101,chibougamau,49.9168,-74.3659,17.79,77,0,2.57,CA,1722145188
102,konarka,19.9,86.1167,30.22,68,95,5.48,IN,1722145189
103,pingliang,35.5392,106.6861,25.96,53,100,1.4,CN,1722145189
104,yangliuqing,39.1375,116.9997,34.97,45,30,2.89,CN,1722145189
105,pokrovsk,48.282,37.1758,28.69,20,23,1.58,UA,1722145190
106,khash,28.2211,61.2158,36.76,11,77,1.61,IR,1722145190
107,kruisfontein,-34.0033,24.7314,7.16,65,59,9.25,ZA,1722145190
108,sena madureira,-9.0656,-68.6569,23.7,52,5,1.28,BR,1722145191
109,longyearbyen,78.2186,15.6401,9.91,87,100,2.06,SJ,1722145191
110,sola,-13.8833,167.55,25.31,69,43,9.72,VU,1722145191
111,al jawf,29.5,38.75,30.97,34,11,5.68,SA,1722145192
112,la ronge,55.1001,-105.2842,17.14,82,40,4.12,CA,1722145192
113,penonome,8.5167,-80.3667,25.0,95,100,0.45,PA,1722145193
114,crane,31.3974,-102.3501,26.84,54,4,9.54,US,1722145193
115,morant bay,17.8815,-76.4093,29.79,90,60,4.23,JM,1722145193
116,ponta delgada,37.7333,-25.6667,21.4,83,20,2.57,PT,1722145194
117,puerto ayora,-0.7393,-90.3518,19.75,92,62,2.24,EC,1722145194
118,yamada,39.4667,141.95,26.24,85,100,1.91,JP,1722145194
119,iskateley,67.6803,53.1512,13.05,76,100,6.08,RU,1722145195
120,inari,68.906,27.0288,18.31,72,60,2.51,FI,1722145198
121,kingston,17.997,-76.7936,29.53,74,20,4.12,JM,1722145200
122,yellowknife,62.456,-114.3525,18.01,70,20,2.57,CA,1722145200
123,albany,42.6001,-73.9662,18.29,90,1,1.64,US,1722145209
124,belyy yar,53.6039,91.3903,27.94,51,0,1.0,RU,1722145210
125,nizhniy odes,63.6445,54.856,14.59,83,100,3.52,RU,1722145211
126,ciudad lazaro cardenas,17.9583,-102.2,26.46,86,20,1.49,MX,1722145212
127,preobrazheniye,42.9019,133.9064,24.32,92,100,3.99,RU,1722145212
128,tonghae,37.5439,129.1069,33.18,52,100,4.74,KR,1722145212
129,peskovka,59.0448,52.3606,10.06,95,100,4.09,RU,1722145213
130,port alfred,-33.5906,26.891,8.99,80,86,2.68,ZA,1722145213
131,constantia,44.1833,28.65,28.17,45,0,0.85,RO,1722145213
132,monchegorsk,67.9397,32.8739,17.1,47,20,3.16,RU,1722145298
133,kyzyl-mazhalyk,51.1333,90.6,29.94,31,10,1.31,RU,1722145305
134,wailua homesteads,22.0669,-159.378,24.44,80,100,7.2,US,1722145305
135,strezhevoy,60.7333,77.5889,23.13,50,82,2.21,RU,1722145306
136,lompoc,34.6391,-120.4579,14.45,87,100,5.81,US,1722145307
137,pierre,44.3683,-100.351,28.51,55,40,3.09,US,1722145308
138,balqash,46.8481,74.995,31.33,20,0,5.0,KZ,1722145317
139,bagnan,22.9242,88.14,27.94,56,85,4.93,IN,1722145319
140,sternberk,49.7304,17.2989,23.7,72,100,1.59,CZ,1722145320
141,pacific grove,36.6177,-121.9166,15.24,85,100,4.63,US,1722145165
142,grand falls-windsor,48.9332,-55.6649,11.39,87,100,3.08,CA,1722145329
143,mitu,1.1983,-70.1733,22.28,98,97,0.81,CO,1722145330
144,altamira,-3.2033,-52.2064,22.08,64,47,1.17,BR,1722145330
145,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.51,GF,1722145330
